user,first_social_sign,number_of_swaps,swaps_category,swapped_before_social,number_stake_actions,current_stake_raw,current_stake,stake_category,staked_before_social,defi_category
stos.near,2022-12-09 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
mncelik.near,2023-01-28 00:00:00.000,12,11-50 SWAPS,YES,6,39.653350129,39.653350129,0-100 STAKED,YES,DEFI MASTER
33336666.near,2022-10-06 00:00:00.000,2,1-10 SWAPS,NO,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
5feed408a55e8a889fc060ddbcc9fc569b6ebe0a662b0f4a3f0686c5a1fa4dbe,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
94992dbeb44d55e299ccdd9a06d5526ed68f9b528c3eff27ca7bf5a1e664f7a7,2023-03-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
nneoma.near,2022-11-28 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
kuzu.near,2022-10-07 00:00:00.000,1,1-10 SWAPS,YES,1,1.01,1.01,0-100 STAKED,YES,DEFI MASTER
5d5e9b87f2c869c0ed0c3efefb62f42acc765a54dce3a8438e8c41c6a146cef0,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
cosimaa.near,2022-11-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
official420.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
8848450eb3c372c71a15001d089264c2f492715fe699d67ab93cb07fc3058894,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
